,Drift2_length,B1_length,B1_field,survival
582,5.0,490.8163265306123,0.2727272727272725,1.0
1121,57.36842105263158,444.8979591836735,-0.27272727272727293,1.0
1122,57.36842105263158,444.8979591836735,0.2727272727272725,1.0
1133,57.36842105263158,454.08163265306126,-0.27272727272727293,1.0
1134,57.36842105263158,454.08163265306126,0.2727272727272725,1.0
1146,57.36842105263158,463.26530612244903,0.2727272727272725,1.0
1158,57.36842105263158,472.44897959183675,0.2727272727272725,1.0
1170,57.36842105263158,481.6326530612245,0.2727272727272725,1.0
1649,109.73684210526316,389.795918367347,-0.27272727272727293,1.0
1650,109.73684210526316,389.795918367347,0.2727272727272725,1.0
1661,109.73684210526316,398.9795918367347,-0.27272727272727293,1.0
1662,109.73684210526316,398.9795918367347,0.2727272727272725,1.0
1673,109.73684210526316,408.16326530612247,-0.27272727272727293,1.0
1674,109.73684210526316,408.16326530612247,0.2727272727272725,1.0
1685,109.73684210526316,417.34693877551024,-0.27272727272727293,1.0
1686,109.73684210526316,417.34693877551024,0.2727272727272725,1.0
1697,109.73684210526316,426.530612244898,-0.27272727272727293,1.0
1698,109.73684210526316,426.530612244898,0.2727272727272725,1.0
1709,109.73684210526316,435.7142857142858,-0.27272727272727293,1.0
1710,109.73684210526316,435.7142857142858,0.2727272727272725,1.0
1721,109.73684210526316,444.8979591836735,-0.27272727272727293,1.0
1722,109.73684210526316,444.8979591836735,0.2727272727272725,1.0
1734,109.73684210526316,454.08163265306126,0.2727272727272725,1.0
1746,109.73684210526316,463.26530612244903,0.2727272727272725,1.0
1758,109.73684210526316,472.44897959183675,0.2727272727272725,1.0
2177,162.10526315789474,334.6938775510204,-0.27272727272727293,1.0
2178,162.10526315789474,334.6938775510204,0.2727272727272725,1.0
2189,162.10526315789474,343.8775510204082,-0.27272727272727293,1.0
2190,162.10526315789474,343.8775510204082,0.2727272727272725,1.0
2201,162.10526315789474,353.06122448979596,-0.27272727272727293,1.0
2202,162.10526315789474,353.06122448979596,0.2727272727272725,1.0
2213,162.10526315789474,362.24489795918373,-0.27272727272727293,1.0
2214,162.10526315789474,362.24489795918373,0.2727272727272725,1.0
2225,162.10526315789474,371.42857142857144,-0.27272727272727293,1.0
2226,162.10526315789474,371.42857142857144,0.2727272727272725,1.0
2237,162.10526315789474,380.6122448979592,-0.27272727272727293,1.0
2238,162.10526315789474,380.6122448979592,0.2727272727272725,1.0
2249,162.10526315789474,389.795918367347,-0.27272727272727293,1.0
2250,162.10526315789474,389.795918367347,0.2727272727272725,1.0
2261,162.10526315789474,398.9795918367347,-0.27272727272727293,1.0
2262,162.10526315789474,398.9795918367347,0.2727272727272725,1.0
2273,162.10526315789474,408.16326530612247,-0.27272727272727293,1.0
2274,162.10526315789474,408.16326530612247,0.2727272727272725,1.0
2285,162.10526315789474,417.34693877551024,-0.27272727272727293,1.0
2286,162.10526315789474,417.34693877551024,0.2727272727272725,1.0
2297,162.10526315789474,426.530612244898,-0.27272727272727293,1.0
2298,162.10526315789474,426.530612244898,0.2727272727272725,1.0
2309,162.10526315789474,435.7142857142858,-0.27272727272727293,1.0
2310,162.10526315789474,435.7142857142858,0.2727272727272725,1.0
2321,162.10526315789474,444.8979591836735,-0.27272727272727293,1.0
2322,162.10526315789474,444.8979591836735,0.2727272727272725,1.0
2334,162.10526315789474,454.08163265306126,0.2727272727272725,1.0
2346,162.10526315789474,463.26530612244903,0.2727272727272725,1.0
2358,162.10526315789474,472.44897959183675,0.2727272727272725,1.0
2370,162.10526315789474,481.6326530612245,0.2727272727272725,1.0
