B1_length,B_for_Dx0,B_for_Dy0,B_for_Dxp0,B_for_Dyp0
0.0,-6.285777292487571,-7.196238959822206,6.750475863237992,-0.4099588647678548
35.55555555555556,-2.817974126736452,-7.694746797970067,2.8191523909865204,-7.55720847659871
71.11111111111111,0.4615714820763655,-7.931420567474284,1.2627729259741198,-7.632041202116302
106.66666666666667,0.7753007857140575,-7.7674689487536455,-6.707320417398604,-7.593849510504019
142.22222222222223,0.7648163532880947,-5.828197647160012,-5.474995133089814,-7.466217859703188
177.77777777777777,-5.9379637410347375,-7.909045389764506,-3.9099536096056453,-7.629308257872139
213.33333333333334,-4.312221563333536,-7.523397201597509,-3.317570086041205,-7.441171388852271
248.8888888888889,-3.638287227819458,-7.444413378169175,-2.4898904968976576,-7.188919375942648
284.44444444444446,-3.1362900931996784,-7.523582952899551,-2.288095418237915,-7.0378069274510064
320.0,-2.6850960673608175,-6.334542063553783,-2.1462726822241276,-6.34984020131702
