B1_length,B_for_Dx0,B_for_Dy0,B_for_Dxp0,B_for_Dyp0
0.0,-7.824046198833992,-7.84279910489168,6.887385127180536,-0.2972088302985173
35.55555555555556,-6.083526716869493,,-2.9920263082623255,
71.11111111111111,-3.2715392715722142,-6.864971889487757,-1.6988507458766515,-7.764598275439673
106.66666666666667,-6.519182009656613,-7.676999317583538,-5.696496650773614,-7.568224277205066
142.22222222222223,-4.023844412320424,-7.543569178037286,-3.740824675251993,-6.847503927231151
177.77777777777777,-2.8689794312826025,-7.114960899713105,-2.80328967392963,-7.143050864574479
213.33333333333334,-6.101338512101867,-4.17066934918877,-2.200690322189391,-4.15644124899581
248.8888888888889,-1.8707605922485366,-5.66725576714963,-1.8873370432262433,-5.714723123809355
284.44444444444446,-1.8040854425978312,-5.924754310992806,-1.7387077989296145,-4.204999909230577
320.0,-1.4375042132790272,-5.905474164011906,-1.3845014328373175,-4.192731789731672
